State,County,CD #,"CD Pop. in County","% of County in CD"
CO,Routt,3,"23,509",100.00%
CO,Saguache,3,"6,108",100.00%
CO,San Juan,3,699,100.00%
CO,San Miguel,3,"7,359",100.00%
CO,Sedgwick,4,"2,379",100.00%
CO,Summit,2,"27,994",100.00%
CO,Teller,5,"23,350",100.00%
CO,Washington,4,"4,814",100.00%
CO,Weld,4,"252,825",100.00%
CO,Yuma,4,"10,043",100.00%
CT,Fairfield,3,"53,742",5.90%
CT,Fairfield,4,"702,136",76.60%
CT,Fairfield,5,"160,951",17.60%
CT,Hartford,1,"647,876",72.50%
CT,Hartford,2,"68,674",7.70%
CT,Hartford,5,"177,464",19.90%
CT,Litchfield,1,"38,914",20.50%
CT,Litchfield,5,"151,013",79.50%
CT,Middlesex,1,"28,030",16.90%
CT,Middlesex,2,"82,702",49.90%
CT,Middlesex,3,"54,944",33.20%
CT,New Haven,2,"18,269",2.10%
CT,New Haven,3,"606,133",70.30%
CT,New Haven,4,"12,683",1.50%
CT,New Haven,5,"225,392",26.10%
CT,New London,2,"274,055",100.00%
CT,Tolland,2,"152,691",100.00%
CT,Windham,2,"118,428",100.00%
DE,Kent,1,"162,310",100.00%
DE,New Castle,1,"538,479",100.00%
DE,Sussex,1,"197,145",100.00%
FL,Alachua,3,"247,336",100.00%
FL,Baker,5,"27,115",100.00%
FL,Bay,2,"168,852",100.00%
FL,Bradford,3,"28,520",100.00%
FL,Brevard,8,"543,376",100.00%
FL,Broward,20,"467,229",26.70%
FL,Broward,22,"573,908",32.80%
FL,Broward,23,"624,861",35.70%
FL,Broward,24,"82,068",4.70%
FL,Calhoun,2,"14,625",100.00%
FL,Charlotte,17,"159,978",100.00%
FL,Citrus,11,"141,236",100.00%
FL,Clay,3,"190,865",100.00%
FL,Collier,19,"155,389",48.30%
FL,Collier,25,"166,131",51.70%
FL,Columbia,2,"54,709",81.00%
FL,Columbia,5,"12,822",19.00%
FL,DeSoto,17,"34,862",100.00%
FL,Dixie,2,"16,422",100.00%
FL,Duval,4,"461,197",53.40%
FL,Duval,5,"403,066",46.60%
FL,Escambia,1,"297,619",100.00%
FL,Flagler,6,"95,696",100.00%
FL,Franklin,2,"11,549",100.00%
FL,Gadsden,5,"46,389",100.00%
FL,Gilchrist,2,"16,939",100.00%
FL,Glades,17,"12,884",100.00%
FL,Gulf,2,"15,863",100.00%
FL,Hamilton,5,"14,799",100.00%
FL,Hardee,17,"27,731",100.00%
FL,Hendry,25,"39,140",100.00%
FL,Hernando,11,"172,778",100.00%
FL,Highlands,17,"98,786",100.00%
FL,Hillsborough,12,"11,451",0.90%
FL,Hillsborough,14,"696,345",56.60%
FL,Hillsborough,15,"363,759",29.60%
FL,Hillsborough,16,"157,671",12.80%
FL,Holmes,1,"11,489",57.70%
FL,Holmes,2,"8,438",42.30%
FL,Indian River,8,"138,028",100.00%
FL,Jackson,2,"49,746",100.00%
FL,Jefferson,2,"1,153",7.80%
FL,Jefferson,5,"13,608",92.20%
FL,Lafayette,2,"8,870",100.00%
FL,Lake,6,"77,851",26.20%
FL,Lake,11,"141,392",47.60%
FL,Lake,15,"77,809",26.20%
FL,Lee,17,"77,798",12.60%
FL,Lee,19,"540,956",87.40%
FL,Leon,2,"116,165",42.20%
FL,Leon,5,"159,322",57.80%
FL,Levy,2,"40,801",100.00%
FL,Liberty,2,"8,365",100.00%
FL,Madison,5,"19,224",100.00%
FL,Manatee,16,"322,833",100.00%
FL,Marion,2,"44,055",13.30%
FL,Marion,3,"139,725",42.20%
FL,Marion,11,"147,518",44.50%
FL,Martin,18,"146,318",100.00%
FL,Miami-Dade,23,"71,484",2.90%
